TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BALL,BALL,BALL,BALL
PlayerID,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,BALL,BALL,BALL,BALL
Attributes,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101.0,2894.0,673.0,147.0,116.0,2014.0,1681.0,114.0,94.0,825.0,872.0,152.0,95.0,2903.0,1674.0,112.0,82.0,1124.0,869.0,144.0,83.0,1631.0,704.0,90.0,93.0,2148.0,1040.0,106.0,92.0,1891.0,1254.0,108.0,94.0,2385.0,783.0,136.0,86.0,2340.0,1208.0,133.0,36.0,1312.0,906.0,40.0
2,101.30000000000007,2899.6,672.3,147.5,114.14285714285711,2017.2857142857142,1683.7142857142858,109.14285714285734,94.0,838.2,873.2,152.0,94.875,2911.125,1668.625,114.0,84.60000000000002,1146.2,873.8,144.0,84.75,1638.75,703.25,106.25,94.71428571428578,2156.714285714286,1039.2857142857142,108.85714285714266,92.14285714285711,1899.142857142857,1257.5714285714287,112.14285714285711,94.0,2401.714285714286,783.4285714285714,136.0,89.20000000000005,2353.0,1206.6,127.19999999999982,36.0,1320.6,906.0,40.0
3,101.60000000000002,2905.2,671.6,148.0,112.28571428571445,2020.5714285714287,1686.4285714285713,104.285714285714,94.0,851.4,874.4,152.0,94.75,2919.25,1663.25,116.0,87.19999999999993,1168.4,878.6,144.0,86.5,1646.5,702.5,122.5,96.42857142857133,2165.4285714285716,1038.5714285714287,111.71428571428578,92.28571428571422,1907.2857142857142,1261.142857142857,116.28571428571445,94.0,2418.4285714285716,783.8571428571429,136.0,92.39999999999986,2366.0,1205.2,121.40000000000009,36.0,1329.2,906.0,40.0
4,101.89999999999998,2910.8,670.9,148.5,110.42857142857156,2023.857142857143,1689.142857142857,99.42857142857133,94.0,864.6,875.6,152.0,94.625,2927.375,1657.875,118.0,89.80000000000007,1190.6,883.4,144.0,88.25,1654.25,701.75,138.75,98.14285714285711,2174.1428571428573,1037.857142857143,114.57142857142844,92.42857142857133,1915.4285714285713,1264.7142857142858,120.42857142857156,94.0,2435.1428571428573,784.2857142857143,136.0,95.60000000000014,2379.0,1203.8,115.59999999999991,36.0,1337.8,906.0,40.0
5,102.19999999999993,2916.4,670.2,149.0,108.57142857142844,2027.142857142857,1691.857142857143,94.57142857142867,94.0,877.8,876.8,152.0,94.5,2935.5,1652.5,120.0,92.39999999999998,1212.8,888.2,144.0,90.0,1662.0,701.0,155.0,99.85714285714289,2182.8571428571427,1037.142857142857,117.42857142857156,92.57142857142867,1923.5714285714287,1268.2857142857142,124.57142857142867,94.0,2451.8571428571427,784.7142857142857,136.0,98.79999999999995,2392.0,1202.4,109.80000000000018,36.0,1346.4,906.0,40.0
6,102.5,2922.0,669.5,149.5,106.71428571428555,2030.4285714285713,1694.5714285714287,89.714285714286,94.0,891.0,878.0,152.0,94.375,2943.625,1647.125,122.0,95.0,1235.0,893.0,144.0,89.75,1682.75,704.25,147.0,101.57142857142867,2191.5714285714284,1036.4285714285713,120.28571428571422,92.71428571428578,1931.7142857142858,1271.857142857143,128.71428571428578,94.0,2468.5714285714284,785.1428571428571,136.0,102.0,2405.0,1201.0,104.0,36.0,1355.0,906.0,40.0
7,102.80000000000007,2927.6,668.8,150.0,104.85714285714289,2033.7142857142858,1697.2857142857142,84.85714285714266,94.0,904.2,879.2,152.0,94.25,2951.75,1641.75,124.0,97.19999999999993,1250.0,896.6,139.79999999999995,89.5,1703.5,707.5,139.0,103.28571428571422,2200.285714285714,1035.7142857142858,123.14285714285734,92.85714285714289,1939.857142857143,1275.4285714285713,132.8571428571429,94.0,2485.285714285714,785.5714285714286,136.0,108.75,2405.25,1195.25,111.75,36.0,1364.3333333333333,905.0,40.0
8,103.10000000000002,2933.2,668.1,150.5,103.0,2037.0,1700.0,80.0,94.0,917.4,880.4,152.0000000000001,94.125,2959.875,1636.375,126.0,99.39999999999998,1265.0,900.2,135.5999999999999,89.25,1724.25,710.75,131.0,105.0,2209.0,1035.0,126.0,93.0,1948.0,1279.0,137.0,94.0,2502.0,786.0,136.0,115.5,2405.5,1189.5,119.5,36.0,1373.6666666666667,904.0,40.0
9,103.39999999999998,2938.8,667.4,151.0,101.25,2037.125,1703.375,83.75,94.0,930.6,881.6,151.9999999999999,94.0,2968.0,1631.0,128.0,101.60000000000002,1280.0,903.8,131.4000000000001,89.0,1745.0,714.0,123.0,102.19999999999982,2218.6,1036.4,129.4000000000001,93.0,1963.6,1283.0,137.0,92.875,2510.125,786.875,137.5,122.25,2405.75,1183.75,127.25,36.0,1383.0,903.0,40.0
10,103.69999999999993,2944.4,666.7,151.5,99.5,2037.25,1706.75,87.5,94.0,943.8,882.8,152.0,93.20000000000005,2977.6,1629.6,131.20000000000027,103.80000000000007,1295.0,907.4,127.20000000000005,89.0,1752.6,716.0,123.80000000000018,99.40000000000009,2228.2,1037.8,132.80000000000018,93.0,1979.2,1287.0,136.99999999999977,91.75,2518.25,787.75,139.0,129.0,2406.0,1178.0,135.0,36.0,1398.0,905.6666666666666,40.0
11,104.0,2950.0,666.0,152.0,97.75,2037.375,1710.125,91.25,94.0,957.0,884.0,152.0,92.39999999999986,2987.2,1628.2,134.4000000000001,106.0,1310.0,911.0,123.0,89.0,1760.2,718.0,124.59999999999991,96.59999999999991,2237.8,1039.2,136.19999999999982,93.0,1994.8,1291.0,137.00000000000023,90.625,2526.375,788.625,140.5,125.75,2408.25,1179.0,135.0,36.0,1413.0,908.3333333333334,40.0
