TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BALL,BALL,BALL,BALL
PlayerID,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,BALL,BALL,BALL,BALL
Attributes,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103.0,2917.0,1287.0,178.0,117.0,1928.0,394.0,109.0,105.0,2641.0,583.0,153.0,104.0,2106.0,1570.0,135.0,144.0,2079.0,19.0,84.0,,,,,118.0,2944.0,1017.0,190.0,98.0,673.0,1552.0,166.0,102.0,2685.0,415.0,126.0,116.0,2543.0,734.0,111.0,,,,
2,102.0,2924.090909090909,1288.7272727272727,177.18181818181847,116.70000000000005,1930.9,393.4,109.0,105.0,2651.0,581.5,153.375,104.0,2115.3333333333335,1572.3333333333333,135.0,144.0,2081.2,17.1,84.0,,,,,116.39999999999986,2950.7,1018.7,188.80000000000018,99.40000000000009,675.52,1548.0,164.84000000000003,102.66666666666663,2687.8888888888887,414.44444444444446,127.66666666666697,116.0,2545.3636363636365,735.2272727272727,111.59090909090901,,,,
3,101.0,2931.181818181818,1290.4545454545455,176.3636363636365,116.39999999999998,1933.8,392.8,109.0,105.0,2661.0,580.0,153.75,104.0,2124.6666666666665,1574.6666666666667,135.0,144.0,2083.4,15.2,84.0,,,,,114.80000000000007,2957.4,1020.4,187.5999999999999,100.79999999999995,678.04,1544.0,163.68000000000006,103.33333333333326,2690.777777777778,413.8888888888889,129.33333333333348,116.0,2547.7272727272725,736.4545454545455,112.18181818181847,,,,
4,100.0,2938.2727272727275,1292.1818181818182,175.5454545454545,116.10000000000002,1936.7,392.2,109.0,105.0,2671.0,578.5,154.125,104.0,2134.0,1577.0,135.0,144.0,2085.6,13.3,84.0,,,,,113.19999999999993,2964.1,1022.1,186.4000000000001,102.20000000000005,680.56,1540.0,162.5200000000001,104.00000000000006,2693.6666666666665,413.3333333333333,131.0,116.0,2550.090909090909,737.6818181818181,112.77272727272748,,,,
5,99.0,2945.3636363636365,1293.909090909091,174.72727272727252,115.79999999999995,1939.6,391.6,109.0,105.0,2681.0,577.0,154.5,104.0,2143.3333333333335,1579.3333333333333,135.0,144.0,2087.8,11.399999999999999,84.0,,,,,111.60000000000014,2970.8,1023.8,185.19999999999982,103.59999999999991,683.08,1536.0,161.36,104.66666666666669,2696.5555555555557,412.77777777777777,132.66666666666652,116.0,2552.4545454545455,738.9090909090909,113.36363636363649,,,,
6,98.0,2952.4545454545455,1295.6363636363637,173.909090909091,115.5,1942.5,391.0,109.0,105.0,2691.0,575.5,154.875,104.0,2152.6666666666665,1581.6666666666667,135.0,144.0,2090.0,9.5,84.0,,,,,110.0,2977.5,1025.5,184.0,105.0,685.6,1532.0,160.19999999999993,105.33333333333331,2699.4444444444443,412.22222222222223,134.33333333333348,116.0,2554.818181818182,740.1363636363636,113.9545454545455,,,,
7,97.0,2959.5454545454545,1297.3636363636363,173.090909090909,115.20000000000005,1945.4,390.4,109.0,105.0,2701.0,574.0,155.25,104.0,2162.0,1584.0,135.0,144.0,2092.2,7.6,84.0,,,,,108.39999999999986,2984.2,1027.2,182.80000000000018,106.40000000000009,688.12,1528.0,159.03999999999996,105.99999999999994,2702.3333333333335,411.6666666666667,136.0,116.0,2557.181818181818,741.3636363636364,114.5454545454545,,,,
8,96.0,2966.6363636363635,1299.090909090909,172.27272727272748,114.89999999999998,1948.3,389.8,109.00000000000023,105.0,2711.0,572.5,155.625,104.0,2171.3333333333335,1586.3333333333333,135.0,144.0,2094.4,5.700000000000001,84.0,,,,,106.79999999999995,2990.9,1028.9,181.5999999999999,107.79999999999995,690.64,1524.0,157.88,106.66666666666674,2705.222222222222,411.1111111111111,137.66666666666652,116.0,2559.5454545454545,742.5909090909091,115.13636363636351,,,,
9,95.0,2973.7272727272725,1300.8181818181818,171.4545454545455,114.60000000000002,1951.2,389.2,108.99999999999977,105.0,2721.0,571.0,156.0,104.0,2180.6666666666665,1588.6666666666667,135.0,144.0,2096.6,3.799999999999999,84.0,,,,,105.20000000000005,2997.6,1030.6,180.4000000000001,109.20000000000005,693.16,1520.0,156.72000000000003,107.33333333333337,2708.1111111111113,410.55555555555554,139.33333333333303,116.0,2561.909090909091,743.8181818181819,115.72727272727252,,,,
10,94.0,2980.818181818182,1302.5454545454545,170.6363636363635,114.29999999999995,1954.1,388.6,109.0,105.0,2731.4,570.8,155.5,104.0,2190.0,1591.0,135.0,144.0,2098.8,1.8999999999999986,84.0,,,,,103.60000000000014,3004.3,1032.3,179.19999999999982,110.59999999999991,695.68,1516.0,155.56000000000006,108.0,2711.0,410.0,141.0,116.0,2564.2727272727275,745.0454545454545,116.31818181818153,,,,
11,93.0,2987.909090909091,1304.2727272727273,169.81818181818153,114.0,1957.0,388.0,109.0,105.0,2741.8,570.6,155.0,104.0,2199.3333333333335,1593.3333333333333,135.0,144.0,2101.0,0.0,84.0,,,,,102.0,3011.0,1034.0,178.0,112.0,698.2,1512.0,154.39999999999998,107.55555555555554,2718.1111111111113,411.1111111111111,141.0,116.0,2566.6363636363635,746.2727272727273,116.90909090909099,,,,
12,92.0,2995.0,1306.0,169.0,113.70000000000005,1959.9,387.4,109.0,105.0,2752.2,570.4,154.5,104.0,2208.6666666666665,1595.6666666666667,135.0,139.4,2102.8,0.0,86.79999999999973,,,,,101.85714285714266,3012.285714285714,1033.5714285714287,180.42857142857156,113.40000000000009,700.72,1508.0,153.24,107.11111111111114,2725.222222222222,412.22222222222223,141.0,116.0,2569.0,747.5,117.5,,,,
